name,expr,n_vars,n_pdn,n_pun,n_common_neg,total,pdn_ok,pun_ok,complete
P1702,a*b*!c+c*d+!a*c+!a*!b,4,10,10,3,26,True,True,True
P1703,!a*!b*d+a*b*!c+c*d+!a*c,4,14,9,3,29,True,True,True
P1704,!b*!c*!d+a*b*d+!a*!d+c*d+!a*!b,4,14,9,4,31,True,True,True
P1705,a*!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d+!a*c,4,,18,,,False,True,False
P1706,a*b*d+!a*!d+c*d+!a*!b,4,11,7,3,24,True,True,True
P1707,!a*b*!d+!a*!b*d+a*b*d+c*d+!a*c,4,10,10,3,26,True,True,True
P1708,!b*!c*!d+a*b*d+c*d+!a*c+!a*!b,4,9,9,4,26,True,True,True
P1709,a*!b*!c*!d+!a*!b*d+a*b*d+c*d+!a*c,4,19,12,4,39,True,True,True
P1710,a*b*d+c*d+!a*c+!a*!b,4,10,6,2,20,True,True,True
P1711,!a*!b*d+a*b*d+c*d+!a*c,4,8,8,2,20,True,True,True
P1712,!a*b*!d+!a*!b*d+a*b*d+!c*!d+c*d,4,11,10,4,29,True,True,True
P1713,a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,10,9,4,27,True,True,True
P1714,!a*!c*!d+!a*b*!d+!a*!b*d+a*b*!c+c*d,4,12,11,4,31,True,True,True
P1715,b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,9,15,4,32,True,True,True
P1716,!b*!c*!d+!a*!b*d+a*b*!c+!a*b*c+c*d,4,12,11,4,31,True,True,True
P1717,a*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d,4,10,12,4,30,True,True,True
P1718,!a*!b*!c+a*b*!c+!a*b*c+c*d,4,10,9,3,25,True,True,True
P1719,!a*!b*d+a*b*!c+!a*b*c+c*d,4,10,11,3,27,True,True,True
P1720,!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,14,10,4,32,True,True,True
P1721,a*!b*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,10,14,4,32,True,True,True
P1722,!a*!c*!d+!a*b*!d+!a*!b*d+a*b*d+c*d,4,13,9,4,30,True,True,True
P1723,!a*b*!d+!a*!b*d+a*b*d+c*d,4,8,9,3,23,True,True,True
P1724,!b*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d,4,13,12,4,33,True,True,True
P1725,a*!b*!c*!d+!a*!b*d+a*b*d+!a*b*c+c*d,4,18,11,4,37,True,True,True
P1726,a*b*d+!a*!b*!c+!a*b*c+c*d,4,11,11,3,28,True,True,True
P1727,!a*!b*d+a*b*d+!a*b*c+c*d,4,8,8,2,20,True,True,True
P1760,a*b*d+!c*!d+c*d+!a*!b,4,8,10,4,26,True,True,True
P1761,b*!c*!d+a*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d,4,17,11,4,36,True,True,True
P1762,b*!c*!d+a*b*d+c*d+!a*!b,4,11,10,4,29,True,True,True
P1763,b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d,4,20,12,4,40,True,True,True
P1766,a*b*!c+c*d+!a*!b,4,7,8,3,21,True,True,True
P1767,!a*!b*d+a*b*!c+!a*!b*c+c*d,4,12,9,3,27,True,True,True
P1768,!b*!c*!d+!a*!c*!d+a*b*d+c*d+!a*!b,4,,14,,,False,True,False
P1769,a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d,4,,,,,False,False,False
P1770,!a*!c*!d+a*b*d+c*d+!a*!b,4,8,8,4,24,True,True,True
P1771,!a*b*!c*!d+!a*!b*d+a*b*d+!a*!b*c+c*d,4,,14,,,False,True,False
P1774,a*b*d+c*d+!a*!b,4,8,7,2,19,True,True,True
P1775,!a*!b*d+a*b*d+!a*!b*c+c*d,4,12,9,2,25,True,True,True
P1776,!a*!b*d+a*b*d+!c*!d+c*d,4,10,9,4,27,True,True,True
P1777,b*!c*!d+a*!c*!d+!a*!b*d+a*b*d+c*d,4,11,15,4,34,True,True,True
P1778,!a*!c*!d+!a*!b*d+a*b*!c+c*d,4,10,16,4,34,True,True,True
P1779,b*!c*!d+!a*!b*d+a*b*d+c*d,4,10,13,4,31,True,True,True
P1782,!a*!b*!c+a*b*!c+c*d,4,8,9,3,23,True,True,True
P1783,!a*!b*d+a*b*!c+c*d,4,10,9,3,25,True,True,True
P1784,!b*!c*!d+!a*!c*!d+!a*!b*d+a*b*d+c*d,4,15,9,4,32,True,True,True
P1785,a*!b*!c*!d+!a*b*!c*!d+!a*!b*d+a*b*d+c*d,4,10,16,4,34,True,True,True
P1786,!a*!c*!d+!a*!b*d+a*b*d+c*d,4,8,17,4,33,True,True,True
P1787,!a*b*!c*!d+!a*!b*d+a*b*d+c*d,4,9,14,4,31,True,True,True
P1790,a*b*d+!a*!b*!c+c*d,4,8,7,3,21,True,True,True
P1791,!a*!b*d+a*b*d+c*d,4,6,6,2,16,True,True,True
P1910,!a*!b*!c*!d+c*d+a*b,4,12,11,4,31,True,True,True
P1911,c*d+a*b,4,4,4,0,8,True,True,True
